"","start_week","week_num","year","age_group","n"
"560",2021-03-29,NA,NA,"18-49",8
"561",2021-03-29,NA,NA,"50-64",6
"562",2021-03-29,NA,NA,"65+",6
"563",2021-04-05,14,2021,"1-4",1
"564",2021-04-05,14,2021,"5-17",1
"565",2021-04-05,NA,NA,"<1",68
"566",2021-04-05,NA,NA,"1-4",112
"567",2021-04-05,NA,NA,"5-17",92
"568",2021-04-05,NA,NA,"18-49",14
"569",2021-04-05,NA,NA,"50-64",2
"570",2021-04-05,NA,NA,"65+",3
"571",2021-04-12,NA,NA,"<1",75
"572",2021-04-12,NA,NA,"1-4",93
"573",2021-04-12,NA,NA,"5-17",67
"574",2021-04-12,NA,NA,"18-49",7
"575",2021-04-12,NA,NA,"50-64",2
"576",2021-04-12,NA,NA,"65+",7
"577",2021-04-19,NA,NA,"<1",70
"578",2021-04-19,NA,NA,"1-4",103
"579",2021-04-19,NA,NA,"5-17",61
"580",2021-04-19,NA,NA,"18-49",5
"581",2021-04-19,NA,NA,"65+",9
"582",2021-04-26,NA,NA,"<1",72
"583",2021-04-26,NA,NA,"1-4",95
"584",2021-04-26,NA,NA,"5-17",66
"585",2021-04-26,NA,NA,"18-49",8
"586",2021-04-26,NA,NA,"50-64",5
"587",2021-04-26,NA,NA,"65+",4
"588",2021-05-03,NA,NA,"<1",59
"589",2021-05-03,NA,NA,"1-4",68
"590",2021-05-03,NA,NA,"5-17",67
"591",2021-05-03,NA,NA,"18-49",8
"592",2021-05-03,NA,NA,"50-64",2
"593",2021-05-03,NA,NA,"65+",5
"594",2021-05-10,NA,NA,"<1",50
"595",2021-05-10,NA,NA,"1-4",91
"596",2021-05-10,NA,NA,"5-17",59
"597",2021-05-10,NA,NA,"18-49",4
"598",2021-05-10,NA,NA,"50-64",5
"599",2021-05-10,NA,NA,"65+",11
"600",2021-05-17,NA,NA,"<1",55
"601",2021-05-17,NA,NA,"1-4",96
"602",2021-05-17,NA,NA,"5-17",63
"603",2021-05-17,NA,NA,"18-49",9
"604",2021-05-17,NA,NA,"50-64",5
"605",2021-05-17,NA,NA,"65+",8
"606",2021-05-24,NA,NA,"<1",66
"607",2021-05-24,NA,NA,"1-4",70
"608",2021-05-24,NA,NA,"5-17",59
"609",2021-05-24,NA,NA,"18-49",12
"610",2021-05-24,NA,NA,"50-64",8
"611",2021-05-24,NA,NA,"65+",11
"612",2021-05-31,NA,NA,"<1",44
"613",2021-05-31,NA,NA,"1-4",63
"614",2021-05-31,NA,NA,"5-17",48
"615",2021-05-31,NA,NA,"18-49",8
"616",2021-05-31,NA,NA,"50-64",5
"617",2021-05-31,NA,NA,"65+",6
"618",2021-06-07,NA,NA,"<1",41
"619",2021-06-07,NA,NA,"1-4",83
"620",2021-06-07,NA,NA,"5-17",55
"621",2021-06-07,NA,NA,"18-49",4
"622",2021-06-07,NA,NA,"50-64",6
"623",2021-06-07,NA,NA,"65+",13
"624",2021-06-14,NA,NA,"<1",59
"625",2021-06-14,NA,NA,"1-4",81
"626",2021-06-14,NA,NA,"5-17",45
"627",2021-06-14,NA,NA,"18-49",4
"628",2021-06-14,NA,NA,"50-64",5
"629",2021-06-14,NA,NA,"65+",7
"630",2021-06-21,NA,NA,"<1",55
"631",2021-06-21,NA,NA,"1-4",85
"632",2021-06-21,NA,NA,"5-17",55
"633",2021-06-21,NA,NA,"18-49",6
"634",2021-06-21,NA,NA,"50-64",8
